model_name,data_file,trained_at,training_duration,num_layers,layer_sizes,learning_rate,epochs,batch_size,test_size,num_features,num_outputs,mae,rmse,r2,mape,max_error,median_ae,val_loss_best,best_epoch,inference_time_ms,activation,loss_function,optimizer,dropout_rate,early_stopping,batch_norm
model_2D_002__250512_135450,2D_002.csv,2025-05-12 13:54:50,143.273139,2,"[64, 32]",0.01,100,16,0.2,6,1,0.1380368277112988,0.4359445942292065,0.8916847219975306,33415.77047240584,6.231436309854427,0.0451410672249667,0.131944790482521,3,0.056223611393939,"<LeakyReLU name=leaky_re_lu, built=True>",mae,RMSprop,0.1,True,False
model_2D_002__250512_135858,2D_002.csv,2025-05-12 13:58:58,246.81891,2,"[64, 32]",0.0001,100,64,0.2,6,1,0.0475482062612741,0.1778636693352978,0.981969755317106,304.38252266622777,3.661080133017137,0.0048555592571202,0.0440769530832767,99,0.0304955919409761,relu,mae,Adamax,0.3,True,False
model_2D_002__250512_140008,2D_002.csv,2025-05-12 14:00:08,69.028652,2,"[256, 128]",0.001,200,64,0.2,6,1,0.0348715681111891,0.0906996470509595,0.995311452509413,7124.950050545613,1.986606847342088,0.0132487929262961,0.0072650103829801,14,0.0375139237160501,swish,mse,Adam,0.3,True,False
model_2D_002__250512_140330,2D_002.csv,2025-05-12 14:03:30,200.947817,1,[128],0.005,200,64,0.2,6,1,0.0420250212907494,0.0900721625185571,0.995376101367106,18506.004253432387,2.023432027395799,0.0237728786686929,0.0036131211090832,58,0.0552486833963588,swish,huber,Nadam,0.2,True,False
model_2D_002__250512_141150,2D_002.csv,2025-05-12 14:11:50,497.639976,1,[128],0.005,50,16,0.2,6,1,0.0472741838774189,0.1329267046728972,0.989929486819008,22958.109229049634,3.3772814384065413,0.024352799458225,0.0138556845486164,48,0.060142224177492,tanh,mse,Adam,0.1,True,False
model_2D_002__250512_141427,2D_002.csv,2025-05-12 14:14:27,155.635327,3,"[128, 64, 32]",0.01,200,32,0.2,6,1,0.1024954522496111,0.3397219664731082,0.93422295124592,19270.071994354654,5.278445970114305,0.0217482895321806,0.097556471824646,13,0.0433892624836129,"<LeakyReLU name=leaky_re_lu, built=True>",mae,Adamax,0.5,True,False
model_2D_002__250512_141952,2D_002.csv,2025-05-12 14:19:52,323.842302,1,[128],0.005,100,16,0.2,6,1,0.042180954573776,0.0929409913210754,0.9950768652139846,15878.30207015963,1.9495079627595688,0.0193925105305697,0.0038627674803137,20,0.0490298673833796,swish,huber,Nadam,0.2,True,False
model_2D_002__250512_143306,2D_002.csv,2025-05-12 14:33:06,792.501445,2,"[256, 128]",0.0001,100,8,0.2,6,1,0.0276999402751995,0.0752869916093172,0.9967695203297752,3412.981254436852,1.645457517202928,0.0121588338606769,0.0047370926477015,25,0.0527139349741128,relu,mse,Adam,0.2,True,False
model_2D_002__250512_143501,2D_002.csv,2025-05-12 14:35:01,112.652448,2,"[256, 128]",0.0005,50,64,0.2,6,1,0.0296896130022304,0.0828867964656122,0.9960844043744644,10259.772976265433,2.073022138174608,0.011568686980746,0.0029210697393864,14,0.0845940904836616,swish,huber,Nadam,0.3,True,False
model_2D_002__250512_143631,2D_002.csv,2025-05-12 14:36:31,88.602112,4,"[256, 128, 64, 32]",0.005,30,64,0.2,6,1,0.1160378349065234,0.5528369769959751,0.8258107728402576,3190.538875591219,7.939689170416429,0.0122068177951562,0.1100852265954017,9,0.0595153127232917,tanh,mae,Adamax,0.3,True,False
